Posição,Nome,Idade,Naturalidade,Patrimonio (R$ bi),Origem,Texto
244,Marino Franz,62,Santa Catarina,1.3,Bioplanta,"O catarinense Marino Franz mudou-se para Lucas do Rio Verde em 1981, aos 19 anos. Foi prefeito da cidade por dois mandatos. Foi um dos fundadores do grupo Fiagril, que distribui sementes e insumos e foi vendido a investidores chineses em 2016. Franz é um dos fundadores do grupo Bioplanta, uma fabricante de fertilizantes especiais."
244,Tercio Borlenghi Junior,55,São Paulo,1.3,Ambipar,"A companhia Ambipar foi fundada em 1995 por Borlenghi e está presente em 15 países, atuando no tratamento, reuso, reparo e reciclagem de materiais. Os negócios se intensificaram durante a pandemia, com o crescimento da demanda por desinfecções de ambientes."
253,Consuelo Andrade de Araújo e família,93,Minas Gerais,1.2,Banco Mercantil do Brasil,"Um dos poucos bancos médios a sobreviver às inúmeras transformações do sistema financeiro, o Mercantil do Brasil dedicou-se durante muito tempo ao financiamento de pequenas empresas, o chamado middle market. Recentemente ampliou sua atuação nos empréstimos consignados. Os bons resultados fizeram as ações mais do que dobrar, inserindo a família na relação deste ano. Consuelo, a matriarca, não tem função executiva no banco, cujo controle está com a família por meio de um acordo de acionistas que inclui os herdeiros."
253,Francisco Deusmar de Queirós e família,78,Ceará,1.2,Pague Menos,"Fundador da rede de farmácias Pague Menos, Deusmar é o principal acionista da companhia, que tem ações negociadas na B3 desde setembro de 2020. A família também é dona de uma emissora de rádio, uma corretora e de uma indústria química. Em maio de 2021, a rede Pague Menos confirmou a compra da concorrente Extrafarma, pertencente à holding Ultrapar, por R$ 700 milhões."
253,Helio Seibel,72,São Paulo,1.2,Grupo Ligna,
253,Janet Guper,70,São Paulo,1.2,Grupo Suzano,"Janet é neta de Leon Feffer, fundador da Suzano Holding e que morreu em 1999. Ela ganhou participação acionária quando herdou, em 2017, uma fatia das ações de sua mãe, Fanny. A genitora havia deixado ações também para seu terceiro filho, André Guper, mas os papéis foram redistribuídos para outros familiares com a morte de André no mesmo ano da mãe."
253,Jorge Gerdau Johannpeter,88,Rio Grande do Sul,1.2,Gerdau,"Jorge Gerdau comanda um clã que detém o controle acionário da Gerdau S.A. e da Metalúrgica Gerdau. Também preside o Conselho Superior do Movimento Brasil Competitivo e é dono do Haras Joter, famoso criatório de cavalos de raça."
253,José Mario Caprioli dos Santos,54,São Paulo,1.2,"Azul, Águia Branca","Caprioli dos Santos era sócio de Nilton Carlos Chieppe na empresa aérea Trip. Com a fusão com a Azul Linhas Aéreas, ele se tornou um grande acionista da companhia aérea fundada por David Gary Neeleman, da qual é conselheiro."
253,Marcelo Kalim,56,São Paulo,1.2,C6 Bank,"Ele foi um dos primeiros sócios de André Esteves no antigo banco Pactual. Ele se desligou em 2018 para trilhar um caminho próprio no setor financeiro, com a fundação do banco C6."
253,Salo Davi Seibel,75,São Paulo,1.2,Grupo Ligna,"Helio divide com o irmão Salo o controle da Grupo Ligna, que tem participações acionárias em diversas companhias, como Leo Madeiras, Klabin e Gera Florestal. De perfil discreto, os Seibel são grandes acionistas da Duratex (Dexco), desde que a companhia incorporou a fabricante de painéis de madeira Satipel, controlada por eles. Os irmãos também estão presentes no varejo. Participaram da implantação da Leroy Merlin no Brasil e vêm ampliando a rede de lojas da Leo."
253,Sebastião Vicente Bomfim Filho,71,Minas Gerais,1.2,Grupo SBF,"O empresário Sebastião Bomfim Filho comanda o Grupo SBF, que controla as redes de lojas Centauro, Almax Sports e ByTennis. O grupo é o maior vendedor de marcas internacionais de tênis esportivos no Brasil. A empresa tem ações negociadas em bolsa desde abril de 2019."
262,Andre Bier Gerdau Johannpeter,62,Rio Grande do Sul,1.1,Gerdau,
262,André Junqueira dos Santos Pessoa,62,São Paulo,1.1,Grupo São Francisco,"Neto de um dos fundadores do Grupo São Francisco, André fez parte da terceira geração à frente dos negócios da família. Com mais de 1,8 milhão de beneficiários, o portfólio inclui hospitais próprios, operadoras de convênios médicos e odontológicos, empresas de saúde ocupacional e companhias de resgate rodoviário. Em 2019, a empresa foi vendida para a Hapvida."
262,Cláudio Johannpeter,52,Rio Grande do Sul,1.1,Gerdau,
262,Frederico Carlos Gerdau Johannpeter,83,Rio Grande do Sul,1.1,Gerdau,
262,Guilherme Chagas Gerdau Johannpeter,53,Rio Grande do Sul,1.1,Gerdau,"Klaus e Frederico, assim como seus herdeiros e familiares,  descendem do alemão Curt Johannpeter e de Helda Gerdau, neta do fundador da Gerdau. Eles ocuparam posições executivas no grupo por muitos anos."
262,Ivan Toledo de Corrêa Filho,68,São Paulo,1.1,Sem Parar,"Ivan foi um dos fundadores da Serviços e Tecnologia de Pagamentos (STP), dona do Sem Parar (mais tarde consolidado como sistema de identificação automática de veículos do Brasil). A companhia foi vendida em 2017 para a DBTrans, da norte-americana Fleetcor, por R$ 4 bilhões. Até a venda, o sócio detinha 31% das ações, e a fatia restante era dividida entre Motiva, Raízen e Arteris."
262,Lisiane Gurgel Rocha,65,Pernambuco,1.1,"Guararapes, Riachuelo","Filha de Nevaldo Rocha (1928-2020), Lisiane e seus irmãos Flávio e Élvio herdaram as ações do pai na Guararapes, maior empresa de moda do Brasil e dona da Riachuelo."
262,Luiz Eduardo Tarquínio Monteiro da Costa e família,74,Rio de Janeiro,1.1,CiaFlu,"Fundada em 1949 em Porto Real (RJ), a Companhia Fluminense de Refrigerantes, que engarrafava a Coca-Cola no Brasil, foi adquirida nos anos 1960 por Renato Monteiro da Costa, pai de Luiz. Em 2013, foi vendida por US$ 448 milhões ao grupo mexicano Femsa. A família seguiu com os demais negócios: banco de investimentos, rede de postos de combustíveis e propriedades imobiliárias e agrícolas no estado do Rio."
262,Luiza Helena Trajano Inácio Rodrigues,76,São Paulo,1.1,Magazine Luiza,"Principal acionista individual do Magazine Luiza, ela ocupou a presidência da rede de 1991 a 2015, quando transferiu o cargo para o filho, Frederico Trajano, e ficou no comando do conselho administrativo. Luiza é sobrinha dos fundadores da empresa. Depois de ser um dos maiores fenômenos da bolsa brasileira por vários anos, as ações do Magazine Luiza recuaram a partir de 2023 devido à concorrência com plataformas chinesas."
262,Mauro Fantin e família,70,Santa Catarina,1.1,Parati Alimentos,"Os irmãos Fantin dividiam o controle da Ritmo Investimentos, holding fundada pelo pai, Angelo Fantin (1927-2015). Entre as empresas, estava a fabricante de alimentos Parati, presidida pelo primogênito Mauro. Em 2016, venderam 100% do capital para a Kellogg por R$ 1,38 bilhão. Hoje, a família é dona da Tevere, de produtos de ferro e construção civil, e sócia de empreendimentos imobiliários e de empresas de energia."
272,Alexandre Ostrowiecki,46,São Paulo,1.0,Multilaser,"É o principal acionista da Multilaser, que abriu o capital na B3 em 2021. Alexandre deixou o cargo de CEO em março, após 22 anos, e passou a presidir o Conselho. A empresa foi fundada em 1987 por Israel Ostrowiecki, pai de Alexandre, e começou trocando cartuchos de tinta para impressoras. Em 1991, ela havia se tornado a única na América Latina a oferecer o serviço de recarga de cartuchos. A partir daí, a Multilaser se diversificou e hoje vende mais de 5 mil produtos, de notebooks a brinquedos."
272,Ana Beatriz Logemann de Almeida e família,62,Rio Grande do Sul,1.0,SLC Agrícola,
272,Anita Louise Regina Harley,78,Pernambuco,1.0,Casas Pernambucanas,"Neta de Arthur Herman Lundgren (1882-1967), que fundou as Casas Pernambucanas em 1908, Anita é a maior acionista individual da empresa. Além de herdar 25% das ações, por duas décadas representou os 25% dos sobrinhos, filhos de seus dois irmãos, Robert e Cristina, que morreram na década de 1990. Por anos, foi diretora-presidente da rede, que soma cerca de 450 lojas. A empresa tem ainda como acionistas (com fatias inferiores) irmãos da empresária e descendentes da quarta e da quinta gerações. Anita está em coma, depois de ser vitimada por um AVC em 2016."
272,Carlos Alberto Mansur e família,72,São Paulo,1.0,Banco Industrial do Brasil,"O discreto Carlos Alberto Mansur é banqueiro, empresário e investidor. Principal acionista do Banco Industrial do Brasil, ele também investe na geração de energia. Em parceria com a empresa finlandesa Wärtsilä, o grupo está testando a geração de energia por meio de etanol no porto de Suape (PE)."
272,Dirley Pingnatti Ricci,54,Paraná,1.0,Locamerica,"O empresário paranaense é fundador da Auto Ricci, locadora de veículos que foi adquirida pela concorrente Locamerica em 2017. Com o negócio, Ricci tornou-se grande acionista da companhia. Ele foi vice-presidente da Locamerica até 2018, quando a empresa se fundiu com a rival Unidas. Em 2022, foi comprada pela Localiza, que após a aquisição entregou 5,38% de suas ações para os antigos controladores da Locamerica. Ricci é conselheiro de várias empresas."
272,Elizabeth Silva Logemann e família,66,Rio Grande do Sul,1.0,SLC Agrícola,
272,Fernando Henrique Borges Trajano,49,São Paulo,1.0,Magazine Luiza,
272,Francisco Cláudio Saraiva Leão Dias Branco,58,Ceará,1.0,M. Dias Branco,
272,Francisco Ivens de Sá Dias Branco Júnior,64,Ceará,1.0,M. Dias Branco,
272,Francisco Marcos Saraiva Leão Dias Branco,60,Ceará,1.0,M. Dias Branco,
272,Giancarlo Francesco Civita,60,São Paulo,1.0,Editora Abril,
272,Gisele Trajano,53,São Paulo,1.0,Magazine Luiza,
272,Ismael Borges Trajano,61,São Paulo,1.0,Magazine Luiza,"A.o lado dos irmãos Fernando Henrique e Ismael, Gisele herdou parte da participação acionária do pai, Onofre de Paula Trajano, na rede Magazine Luiza, criada pela irmã deste, Luiza Trajano Donato."
272,Jorge Luiz Silva Logemann e família,71,Rio Grande do Sul,1.0,SLC Agrícola,
272,José Augusto Carvalho Aragão,67,São Paulo,1.0,Armac,"O empresário José Carvalho Aragão é fundador da Armac, maior empresa de locação de equipamentos para o agronegócio e mineração do Brasil. A companhia abriu seu capital na B3 em 2021. O fundador controla a empresa ao lado da esposa, Lucia, e dos dois filhos, Fernando (CEO) e José Augusto (presidente do conselho). Lucia faz parte do conselho de administração."
272,Lauro Fiuza e Pedro Fiuza,0,Ceará,1.0,Grupo Servtec,"Fundado em 1969 em Fortaleza pelos engenheiros Lauro Fiuza Júnior, Luciano Montenegro e Marcos Botelho, o Grupo Servtec atua em geração de energia eólica, solar, térmica e hídrica. Pedro, filho de Lauro, é acionista."
272,Marcelo Silva Logemann e família,70,Rio Grande do Sul,1.0,SLC Agrícola,"Os irmãos Ana Beatriz, Elizabeth, Jorge Logemann e Marcelo comandam o grupo gaúcho SLC, que envolve a SLC Agrícola, uma das maiores proprietárias de terras cultivadas do país. A SLC cultiva algodão, soja e milho em 22 fazendas pelo Brasil. Eduardo é presidente do Conselho e Jorge Luiz é vice-presidente. Em 2024 a empresa faturou R$ 6,9 bilhões, queda de 4,4% ante 2023."
272,Maria Regina Saraiva Leão Branco Ximenes,63,Ceará,1.0,M. Dias Branco,"Os cinco irmãos são filhos de Francisco Ivens de Sá Dias Branco (1934-2016), criador da M. Dias Branco, dona de marcas como Vitarella, Richester e Puro Sabor. Após a morte do pai, receberam participações iguais na companhia, negociada na bolsa desde 2006."
272,Maria das Graças Dias Branco da Escóssia,65,Ceará,1.0,M. Dias Branco,
272,Michel Gora e família,77,São Paulo,1.0,Locaweb,"Michel Gora e seus filhos, Cláudio e Ricardo Gora, são acionistas fundadores da Locaweb, que abriu o capital na B3 em 2020."
272,Otávio Lage de Siqueira Filho e família,69,Goiás,1.0,Jalles Machado,"A família Siqueira é a principal acionista da Jalles Machado, produtora de açúcar e etanol que fez IPO na B3 em 2021. Otávio Filho é o atual diretor-presidente da companhia, fundada em 1980 em Goianésia (GO) por seu pai, Otávio Lage de Siqueira, ex-governador de Goiás, em parceria com fazendeiros da região. A empresa, que começou como destilaria de álcool durante a crise do petróleo, ingressou na produção de açúcar em 1993, com a marca Itajá."
272,Roberto Luiz Jatahy Gonçalves,55,Rio de Janeiro,1.0,Azzas 2154,"Os irmãos Roberto e Claudia Jatahy fundaram a varejista de moda feminina Animale em 1991. Em 2010, a empresa se associou à Farm, dando origem ao Grupo Soma, que fez seu IPO na B3 em 2020. Em julho de 2024, a Soma anunciou uma fusão com a Arezzo, da família Birman, criando a Azzas 2154, empresa com 34 marcas (incluindo a tradicional Hering) e quatro verticais. Gonçalves é o CEO das unidades de vestuário e lifestyle feminino."
272,Victor Civita Neto,0,São Paulo,1.0,Editora Abril,"Herdeiros de Roberto Civita (1936-2013), que deu continuidade à obra de Victor Civita (1907- 1990), fundador do grupo de comunicação Abril e que entrou em recuperação judicial em 2018. Além da empresa, a família tem um importante patrimônio imobiliário."
272,Vítor Wanderley Jr. e família,31,Alagoas,1.0,Usina Coruripe,"Fundada em Coruripe (AL) em 1925, a usina Coruripe foi adquirida por Tércio Wanderley, avô de Vitor, em 1941. A empresa ampliou suas atividades para minas na década de 1990 e em 2007 passou a atuar em geração de energia. A previsão de faturamento para a safra 2024/ 2025 era de R$ 4,8 bilhões. Vitor e seus familiares são os acionistas principais."
272,Wilson Fernando Romanini e família,55,São Paulo,1.0,Grupo Vittia,"Economista pela PUC de Campinas, Wilson Fernando Romanini é diretor-presidente do grupo Vittia desde 2008. O grupo foi fundado em 1971 em São Joaquim da Barra (SP), sob o nome de BioSoja. Atua no segmento de biotecnologia agrícola, com foco em defensivos biológicos e nutrição vegetal."
272,Élvio Gurgel Rocha,61,Pernambuco,1.0,"Guararapes, Riachuelo","Filho de Nevaldo Rocha (1928-2020), Élvio e seus irmão herdaram as ações do pai na Guararapes, maior empresa de moda do Brasil e dona da Riachuelo."
